,AttackID,ThreatID,Interaction,Category,Description,Title,RepeatedElseWhere,RepeatedInCategory,Effect,IFlag,Source,SourceType,Destination,DestinationType
0,1,3.0,GrantControll( ),Elevation Of Privilege,RemoteController may be able to impersonate the context of FleetController in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,1.0,FleetController,GE.P,RemoteController,GE.P
1,2,5.0,Command(int command ;int userId),Elevation Of Privilege,HX01 may be able to impersonate the context of RemoteController in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,2.0,RemoteController,GE.P,HX01,GE.P
2,3,6.0,CommandDone(),Elevation Of Privilege,RemoteController may be able to impersonate the context of HX01 in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,1.0,HX01,GE.P,RemoteController,GE.P
3,4,273.0,CommandDone( ),Elevation Of Privilege,FleetController may be able to impersonate the context of HX01 in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,2.0,HX01,GE.P,FleetController,GE.P
4,5,247.0,CurentStatus(int status),Elevation Of Privilege,FleetController may be able to impersonate the context of RemoteController in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,5.0,RemoteController,GE.P,FleetController,GE.P
5,6,318.0,CurentStatus(int status),Elevation Of Privilege,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",Cross Site Request Forgery,False,False,Cross-site request forgery,5.0,FleetController,GE.P,SiteServer,GE.P
6,7,317.0,CurentStatus(int status),Elevation Of Privilege,An attacker may pass data into SiteServer in order to change the flow of program execution within SiteServer to the attacker's choosing.,Elevation by Changing the Execution Flow in SiteServer,False,False,change the flow of program execution,5.0,FleetController,GE.P,SiteServer,GE.P
7,8,316.0,CurentStatus(int status),Elevation Of Privilege,FleetController may be able to remotely execute code for SiteServer.,SiteServer May be Subject to Elevation of Privilege Using Remote Code Execution,False,False,remotely execute code,5.0,FleetController,GE.P,SiteServer,GE.P
8,9,315.0,CurentStatus(int status),Elevation Of Privilege,SiteServer may be able to impersonate the context of FleetController in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,5.0,FleetController,GE.P,SiteServer,GE.P
9,10,314.0,CurentStatus(int status),Denial Of Service,An external agent interrupts data flowing across a trust boundary in either direction.,Data Flow CurentStatus(int status) Is Potentially Interrupted,False,False,Interrupt data flowing,5.0,FleetController,GE.P,SiteServer,GE.P
10,11,313.0,CurentStatus(int status),Denial Of Service,"SiteServer crashes, halts, stops or runs slowly; in all cases violating an availability metric.",Potential Process Crash or Stop for SiteServer,False,False,Crashes,5.0,FleetController,GE.P,SiteServer,GE.P
11,12,312.0,CurentStatus(int status),Information Disclosure,"Data flowing across CurentStatus(int status) may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",Data Flow Sniffing,False,False,Data Flow Sniffing,5.0,FleetController,GE.P,SiteServer,GE.P
